household_id,city_id,household_type_en,total_households,total_households_with_car,household_hascar_perc_of_total,cardata_year
4565,331,Single-parent families,288,244,84.72,2018
4625,343,Single-parent families,489,375,76.69,2018
5550,529,Single-parent families,399,289,72.43,2018
5555,530,Single-parent families,424,291,68.63,2018
5570,533,Single-parent families,548,451,82.3,2018
6350,106,Single-parent families,2419,1551,64.12,2019
6980,232,Single-parent families,975,705,72.31,2019
7005,237,Single-parent families,2334,1559,66.8,2019
7290,294,Single-parent families,516,391,75.78,2019
7340,304,Single-parent families,208,156,75.0,2019
7720,380,Single-parent families,669,551,82.36,2019
7840,404,Single-parent families,214,174,81.31,2019
8140,465,Single-parent families,284,230,80.99,2019
8275,492,Single-parent families,306,264,86.27,2019
8570,551,Single-parent families,250,219,87.6,2019
8900,34,Single-parent families,1478,1018,68.88,2020
9025,59,Single-parent families,1812,1192,65.78,2020
9635,181,Single-parent families,296,260,87.84,2020
9900,234,Single-parent families,1308,952,72.78,2020
10025,259,Single-parent families,386,314,81.35,2020
10330,320,Single-parent families,136,110,80.88,2020
10625,379,Single-parent families,885,609,68.81,2020
10635,381,Single-parent families,1185,1005,84.81,2020
11010,457,Single-parent families,453,393,86.75,2020
11185,492,Single-parent families,302,259,85.76,2020
11555,566,Single-parent families,589,463,78.61,2020
11580,571,Single-parent families,634,490,77.29,2020
12205,113,Single-parent families,247,205,83.0,2021
12595,191,Single-parent families,1018,836,82.12,2021
12645,201,Single-parent families,140,124,88.57,2021
12965,265,Single-parent families,308,248,80.52,2021
13010,274,Single-parent families,125,106,84.8,2021
13425,357,Single-parent families,504,392,77.78,2021
13735,420,Single-parent families,1017,785,77.19,2021
14100,493,Single-parent families,316,286,90.51,2021
14310,535,Single-parent families,883,736,83.35,2021
14445,562,Single-parent families,696,574,82.47,2021
14960,82,Single-parent families,5680,2127,37.45,2022
15775,245,Single-parent families,131,114,87.02,2022
15835,257,Single-parent families,1413,1102,77.99,2022
15895,269,Single-parent families,715,600,83.92,2022
16445,379,Single-parent families,923,642,69.56,2022
16450,380,Single-parent families,679,555,81.74,2022
16675,426,Single-parent families,507,426,84.02,2022
16685,428,Single-parent families,1166,928,79.59,2022
16885,468,Single-parent families,427,352,82.44,2022
17645,37,Single-parent families,498,389,78.11,2023
18280,164,Single-parent families,527,423,80.27,2023
18365,181,Single-parent families,319,272,85.27,2023
18410,190,Single-parent families,487,394,80.9,2023
18755,259,Single-parent families,391,290,74.17,2023
18885,285,Single-parent families,1427,995,69.73,2023
19090,326,Single-parent families,372,293,78.76,2023
20170,542,Single-parent families,1023,818,79.96,2023
20205,549,Single-parent families,416,324,77.88,2023
20210,550,Single-parent families,229,195,85.15,2023
270,54,Single-parent families,268,214,79.85,2017
570,114,Single-parent families,599,429,71.62,2017
885,177,Single-parent families,1108,917,82.76,2017
970,194,Single-parent families,633,537,84.83,2017
1120,224,Single-parent families,149,135,90.6,2017
1195,239,Single-parent families,1269,817,64.38,2017
1290,258,Single-parent families,551,380,68.97,2017
1985,397,Single-parent families,797,663,83.19,2017
2440,489,Single-parent families,571,425,74.43,2017
2850,571,Single-parent families,641,514,80.19,2017
3735,165,Single-parent families,624,529,84.78,2018
4530,324,Single-parent families,166,148,89.16,2018
4535,325,Single-parent families,170,142,83.53,2018
4640,346,Single-parent families,326,281,86.2,2018
4795,377,Single-parent families,1677,1297,77.34,2018
5100,439,Single-parent families,861,655,76.07,2018
5250,469,Single-parent families,577,415,71.92,2018
5575,534,Single-parent families,401,302,75.31,2018
5970,30,Single-parent families,819,661,80.71,2019
6075,51,Single-parent families,271,218,80.44,2019
6665,169,Single-parent families,306,251,82.03,2019
7325,301,Single-parent families,62,49,79.03,2019
7350,306,Single-parent families,512,376,73.44,2019
7455,327,Single-parent families,575,432,75.13,2019
7585,353,Single-parent families,646,534,82.66,2019
7835,403,Single-parent families,770,628,81.56,2019
8430,523,Single-parent families,360,296,82.22,2019
8505,538,Single-parent families,275,224,81.45,2019
8865,27,Single-parent families,294,243,82.65,2020
10380,330,Single-parent families,336,284,84.52,2020
10790,412,Single-parent families,341,294,86.22,2020
10825,420,Single-parent families,1013,790,77.99,2020
11040,463,Single-parent families,3320,2088,62.89,2020
11310,517,Single-parent families,306,269,87.91,2020
11320,519,Single-parent families,1715,1357,79.13,2020
12070,86,Single-parent families,4987,2937,58.89,2021
13080,288,Single-parent families,737,552,74.9,2021
13100,292,Single-parent families,220,181,82.27,2021
13140,300,Single-parent families,336,271,80.65,2021
13150,302,Single-parent families,288,234,81.25,2021
13360,344,Single-parent families,188,139,73.94,2021
13775,428,Single-parent families,1133,894,78.91,2021
13895,452,Single-parent families,472,387,81.99,2021
14330,539,Single-parent families,406,335,82.51,2021
14910,72,Single-parent families,3918,1622,41.4,2022
15155,121,Single-parent families,497,417,83.9,2022
16040,298,Single-parent families,287,210,73.17,2022
16045,299,Single-parent families,241,194,80.5,2022
16090,308,Single-parent families,150,134,89.33,2022
16265,343,Single-parent families,513,415,80.9,2022
16345,359,Single-parent families,550,422,76.73,2022
16495,389,Single-parent families,200,177,88.5,2022
16660,423,Single-parent families,658,497,75.53,2022
16800,451,Single-parent families,258,226,87.6,2022
17180,527,Single-parent families,4413,3248,73.6,2022
17225,536,Single-parent families,255,214,83.92,2022
17285,548,Single-parent families,2687,2022,75.25,2022
17515,11,Single-parent families,766,613,80.03,2023
17800,68,Single-parent families,651,550,84.49,2023
18465,201,Single-parent families,151,122,80.79,2023
18510,210,Single-parent families,465,379,81.51,2023
19540,416,Single-parent families,640,523,81.72,2023
19990,506,Single-parent families,391,335,85.68,2023
230,46,Single-parent families,336,269,80.06,2017
585,117,Single-parent families,670,441,65.82,2017
1145,229,Single-parent families,222,188,84.68,2017
1380,276,Single-parent families,435,334,76.78,2017
1865,373,Single-parent families,477,393,82.39,2017
2020,404,Single-parent families,209,166,79.43,2017
2800,561,Single-parent families,3028,1718,56.74,2017
2875,576,Single-parent families,645,499,77.36,2017
3110,40,Single-parent families,224,190,84.82,2018
3575,133,Single-parent families,928,697,75.11,2018
3600,138,Single-parent families,2678,1889,70.54,2018
4110,240,Single-parent families,223,186,83.41,2018
4460,310,Single-parent families,84,64,76.19,2018
4930,404,Single-parent families,207,169,81.64,2018
4960,410,Single-parent families,636,503,79.09,2018
5105,440,Single-parent families,1756,1402,79.84,2018
5475,514,Single-parent families,358,302,84.36,2018
5640,547,Single-parent families,332,275,82.83,2018
5720,563,Single-parent families,237,205,86.5,2018
6025,41,Single-parent families,1295,1017,78.53,2019
6205,77,Single-parent families,1137,451,39.67,2019
6615,159,Single-parent families,292,252,86.3,2019
6620,160,Single-parent families,1454,1203,82.74,2019
6765,189,Single-parent families,713,596,83.59,2019
7030,242,Single-parent families,409,344,84.11,2019
7365,309,Single-parent families,872,668,76.61,2019
7865,409,Single-parent families,1101,802,72.84,2019
7980,433,Single-parent families,192,172,89.58,2019
8045,446,Single-parent families,1620,1228,75.8,2019
8175,472,Single-parent families,537,426,79.33,2019
8180,473,Single-parent families,335,296,88.36,2019
8400,517,Single-parent families,292,256,87.67,2019
8760,6,Single-parent families,540,453,83.89,2020
9350,124,Single-parent families,654,560,85.63,2020
9570,168,Single-parent families,272,231,84.93,2020
9590,172,Single-parent families,3050,2353,77.15,2020
9710,196,Single-parent families,156,136,87.18,2020
9775,209,Single-parent families,728,525,72.12,2020
9830,220,Single-parent families,304,221,72.7,2020
10590,372,Single-parent families,560,465,83.04,2020
11510,557,Single-parent families,327,271,82.87,2020
11920,56,Single-parent families,1306,1004,76.88,2021
13115,295,Single-parent families,138,117,84.78,2021
13455,363,Single-parent families,339,264,77.88,2021
13460,364,Single-parent families,100,81,81.0,2021
14105,494,Single-parent families,366,319,87.16,2021
14495,572,Single-parent families,654,520,79.51,2021
15150,120,Single-parent families,1553,1076,69.29,2022
15220,134,Single-parent families,698,512,73.35,2022
16000,290,Single-parent families,459,338,73.64,2022
16275,345,Single-parent families,1269,1003,79.04,2022
17170,525,Single-parent families,702,390,55.56,2022
17205,532,Single-parent families,233,200,85.84,2022
17505,9,Single-parent families,446,372,83.41,2023
17890,86,Single-parent families,5085,2875,56.54,2023
17955,99,Single-parent families,195,151,77.44,2023
18530,214,Single-parent families,141,124,87.94,2023
18720,252,Single-parent families,231,200,86.58,2023
18980,304,Single-parent families,190,156,82.11,2023
19085,325,Single-parent families,208,178,85.58,2023
19100,328,Single-parent families,131,114,87.02,2023
19155,339,Single-parent families,681,593,87.08,2023
19160,340,Single-parent families,368,327,88.86,2023
19335,375,Single-parent families,1446,1152,79.67,2023
19365,381,Single-parent families,1255,1038,82.71,2023
19610,430,Single-parent families,1436,1061,73.89,2023
19910,490,Single-parent families,1512,1140,75.4,2023
20115,531,Single-parent families,362,303,83.7,2023
20215,551,Single-parent families,272,225,82.72,2023
610,122,Single-parent families,158,127,80.38,2017
690,138,Single-parent families,2627,1847,70.31,2017
1025,205,Single-parent families,450,366,81.33,2017
1550,310,Single-parent families,79,65,82.28,2017
1555,311,Single-parent families,108,94,87.04,2017
1740,348,Single-parent families,292,213,72.95,2017
1790,358,Single-parent families,567,480,84.66,2017
1860,372,Single-parent families,549,462,84.15,2017
1955,391,Single-parent families,499,392,78.56,2017
2585,518,Single-parent families,1428,1170,81.93,2017
3215,61,Single-parent families,320,265,82.81,2018
3310,80,Single-parent families,1374,715,52.04,2018
3335,85,Single-parent families,2015,1329,65.96,2018
3750,168,Single-parent families,272,224,82.35,2018
3985,215,Single-parent families,109,94,86.24,2018
4135,245,Single-parent families,118,93,78.81,2018
4435,305,Single-parent families,161,137,85.09,2018
4830,384,Single-parent families,1388,1047,75.43,2018
5320,483,Single-parent families,869,687,79.06,2018
5390,497,Single-parent families,1957,1582,80.84,2018
5395,498,Single-parent families,714,573,80.25,2018
5810,581,Single-parent families,310,263,84.84,2018
5875,11,Single-parent families,729,604,82.85,2019
6065,49,Single-parent families,592,514,86.82,2019
6200,76,Single-parent families,2952,1394,47.22,2019
6255,87,Single-parent families,3221,1443,44.8,2019
6345,105,Single-parent families,314,262,83.44,2019
7530,342,Single-parent families,545,413,75.78,2019
7670,370,Single-parent families,506,405,80.04,2019
7815,399,Single-parent families,1376,1077,78.27,2019
8700,577,Single-parent families,928,774,83.41,2019
8705,578,Single-parent families,268,233,86.94,2019
8970,48,Single-parent families,866,732,84.53,2020
9215,97,Single-parent families,2029,1473,72.6,2020
9375,129,Single-parent families,5057,3372,66.68,2020
9850,224,Single-parent families,156,143,91.67,2020
9960,246,Single-parent families,298,222,74.5,2020
10035,261,Single-parent families,294,246,83.67,2020
10145,283,Single-parent families,425,320,75.29,2020
10285,311,Single-parent families,107,96,89.72,2020
10600,374,Single-parent families,370,320,86.49,2020
10650,384,Single-parent families,1474,1104,74.9,2020
10695,393,Single-parent families,384,325,84.64,2020
11425,540,Single-parent families,1137,854,75.11,2020
11495,554,Single-parent families,86,73,84.88,2020
11590,573,Single-parent families,422,340,80.57,2020
11605,576,Single-parent families,649,527,81.2,2020
11735,19,Single-parent families,1330,1075,80.83,2021
12130,98,Single-parent families,1482,1023,69.03,2021
12270,126,Single-parent families,267,221,82.77,2021
12325,137,Single-parent families,222,182,81.98,2021
12365,145,Single-parent families,837,674,80.53,2021
12815,235,Single-parent families,219,176,80.37,2021
13050,282,Single-parent families,314,269,85.67,2021
13110,294,Single-parent families,495,378,76.36,2021
13680,408,Single-parent families,1184,950,80.24,2021
13785,430,Single-parent families,1435,1046,72.89,2021
13900,453,Single-parent families,296,260,87.84,2021
13935,460,Single-parent families,540,419,77.59,2021
14005,474,Single-parent families,982,824,83.91,2021
14150,503,Single-parent families,277,246,88.81,2021
14280,529,Single-parent families,396,307,77.53,2021
14400,553,Single-parent families,241,180,74.69,2021
14815,53,Single-parent families,477,406,85.12,2022
15205,131,Single-parent families,229,189,82.53,2022
15410,172,Single-parent families,3068,2386,77.77,2022
15490,188,Single-parent families,228,194,85.09,2022
15650,220,Single-parent families,318,236,74.21,2022
15755,241,Single-parent families,329,281,85.41,2022
16105,311,Single-parent families,115,99,86.09,2022
16220,334,Single-parent families,263,208,79.09,2022
16270,344,Single-parent families,192,153,79.69,2022
16385,367,Single-parent families,3733,2656,71.15,2022
16405,371,Single-parent families,1626,1255,77.18,2022
16480,386,Single-parent families,873,705,80.76,2022
16490,388,Single-parent families,50,45,90.0,2022
16530,396,Single-parent families,223,186,83.41,2022
17175,526,Single-parent families,648,490,75.62,2022
17265,544,Single-parent families,1048,755,72.04,2022
17760,60,Single-parent families,272,218,80.15,2023
18120,132,Single-parent families,448,376,83.93,2023
18275,163,Single-parent families,402,339,84.33,2023
19000,308,Single-parent families,165,147,89.09,2023
19690,446,Single-parent families,1635,1236,75.6,2023
19800,468,Single-parent families,447,365,81.66,2023
19810,470,Single-parent families,799,670,83.85,2023
19835,475,Single-parent families,138,119,86.23,2023
20000,508,Single-parent families,418,350,83.73,2023
20160,540,Single-parent families,1163,865,74.38,2023
20235,555,Single-parent families,1336,985,73.73,2023
20370,582,Single-parent families,85,69,81.18,2023
150,30,Single-parent families,834,674,80.82,2017
480,96,Single-parent families,656,481,73.32,2017
745,149,Single-parent families,408,342,83.82,2017
870,174,Single-parent families,271,220,81.18,2017
1055,211,Single-parent families,602,496,82.39,2017
1385,277,Single-parent families,154,143,92.86,2017
1775,355,Single-parent families,223,194,87.0,2017
2310,463,Single-parent families,3248,2081,64.07,2017
2355,472,Single-parent families,504,399,79.17,2017
2645,530,Single-parent families,428,290,67.76,2017
2840,569,Single-parent families,99,84,84.85,2017
2860,573,Single-parent families,425,339,79.76,2017
2890,579,Single-parent families,380,331,87.11,2017
3345,87,Single-parent families,3196,1411,44.15,2018
3395,97,Single-parent families,2026,1451,71.62,2018
4145,247,Single-parent families,208,166,79.81,2018
4295,277,Single-parent families,154,142,92.21,2018
4305,279,Single-parent families,282,230,81.56,2018
4420,302,Single-parent families,275,214,77.82,2018
4650,348,Single-parent families,298,226,75.84,2018
4850,388,Single-parent families,54,50,92.59,2018
4875,393,Single-parent families,392,346,88.27,2018
5430,505,Single-parent families,644,561,87.11,2018
5530,525,Single-parent families,722,409,56.65,2018
5545,528,Single-parent families,306,264,86.27,2018
5710,561,Single-parent families,3009,1709,56.8,2018
5790,577,Single-parent families,885,747,84.41,2018
5795,578,Single-parent families,259,218,84.17,2018
5890,14,Single-parent families,820,694,84.63,2019
5905,17,Single-parent families,826,642,77.72,2019
6080,52,Single-parent families,365,286,78.36,2019
6965,229,Single-parent families,214,184,85.98,2019
7240,284,Single-parent families,951,726,76.34,2019
7415,319,Single-parent families,237,181,76.37,2019
7890,415,Single-parent families,4333,2955,68.2,2019
8350,507,Single-parent families,1601,1148,71.71,2019
8755,5,Single-parent families,672,554,82.44,2020
8885,31,Single-parent families,578,484,83.74,2020
8920,38,Single-parent families,3104,2124,68.43,2020
9150,84,Single-parent families,2999,1682,56.09,2020
9315,117,Single-parent families,688,449,65.26,2020
10085,271,Single-parent families,132,108,81.82,2020
11125,480,Single-parent families,1386,1047,75.54,2020
11175,490,Single-parent families,1386,1061,76.55,2020
11300,515,Single-parent families,1196,872,72.91,2020
11315,518,Single-parent families,1439,1176,81.72,2020
11910,54,Single-parent families,282,234,82.98,2021
12150,102,Single-parent families,899,640,71.19,2021
12680,208,Single-parent families,150,131,87.33,2021
13285,329,Single-parent families,1549,1117,72.11,2021
13390,350,Single-parent families,251,212,84.46,2021
13990,471,Single-parent families,657,525,79.91,2021
14295,532,Single-parent families,227,187,82.38,2021
14795,49,Single-parent families,605,504,83.31,2022
14935,77,Single-parent families,1185,475,40.08,2022
15685,227,Single-parent families,813,543,66.79,2022
16440,378,Single-parent families,622,509,81.83,2022
16925,476,Single-parent families,419,362,86.4,2022
17245,540,Single-parent families,1150,893,77.65,2022
17295,550,Single-parent families,219,181,82.65,2022
17780,64,Single-parent families,1075,777,72.28,2023
18225,153,Single-parent families,256,207,80.86,2023
18265,161,Single-parent families,1156,949,82.09,2023
18815,271,Single-parent families,124,104,83.87,2023
18925,293,Single-parent families,61,49,80.33,2023
19015,311,Single-parent families,116,103,88.79,2023
19240,356,Single-parent families,137,120,87.59,2023
19505,409,Single-parent families,1189,853,71.74,2023
19620,432,Single-parent families,353,299,84.7,2023
19695,447,Single-parent families,564,462,81.91,2023
19870,482,Single-parent families,610,513,84.1,2023
20275,563,Single-parent families,246,210,85.37,2023
110,22,Single-parent families,395,287,72.66,2017
190,38,Single-parent families,3181,2208,69.41,2017
475,95,Single-parent families,6377,3811,59.76,2017
1475,295,Single-parent families,128,109,85.16,2017
1635,327,Single-parent families,592,433,73.14,2017
1990,398,Single-parent families,666,570,85.59,2017
2195,440,Single-parent families,1749,1386,79.25,2017
2475,496,Single-parent families,475,391,82.32,2017
2740,549,Single-parent families,389,304,78.15,2017
3245,67,Single-parent families,383,326,85.12,2018
3320,82,Single-parent families,5235,1985,37.92,2018
3350,88,Single-parent families,1588,1001,63.04,2018
3535,125,Single-parent families,421,319,75.77,2018
3865,191,Single-parent families,985,817,82.94,2018
3905,199,Single-parent families,221,186,84.16,2018
3950,208,Single-parent families,135,117,86.67,2018
3960,210,Single-parent families,456,364,79.82,2018
4580,334,Single-parent families,239,189,79.08,2018
4635,345,Single-parent families,1224,947,77.37,2018
4655,349,Single-parent families,210,178,84.76,2018
4765,371,Single-parent families,1582,1207,76.3,2018
5415,502,Single-parent families,234,197,84.19,2018
5435,506,Single-parent families,362,303,83.7,2018
5480,515,Single-parent families,1172,839,71.59,2018
5515,522,Single-parent families,244,202,82.79,2018
5630,545,Single-parent families,296,238,80.41,2018
6105,57,Single-parent families,614,509,82.9,2019
6360,108,Single-parent families,1868,1375,73.61,2019
6375,111,Single-parent families,576,439,76.22,2019
6515,139,Single-parent families,271,210,77.49,2019
6805,197,Single-parent families,266,222,83.46,2019
6855,207,Single-parent families,176,152,86.36,2019
6895,215,Single-parent families,110,95,86.36,2019
7370,310,Single-parent families,79,59,74.68,2019
7495,335,Single-parent families,839,607,72.35,2019
7915,420,Single-parent families,1022,786,76.91,2019
8120,461,Single-parent families,672,532,79.17,2019
8200,477,Single-parent families,518,440,84.94,2019
8415,520,Single-parent families,163,140,85.89,2019
8595,556,Single-parent families,53,41,77.36,2019
8980,50,Single-parent families,418,343,82.06,2020
9095,73,Single-parent families,2217,968,43.66,2020
9165,87,Single-parent families,3260,1405,43.1,2020
9225,99,Single-parent families,190,146,76.84,2020
10020,258,Single-parent families,513,376,73.29,2020
10175,289,Single-parent families,127,105,82.68,2020
10420,338,Single-parent families,144,116,80.56,2020
10485,351,Single-parent families,997,789,79.14,2020
10500,354,Single-parent families,6094,3946,64.75,2020
10840,423,Single-parent families,648,497,76.7,2020
11115,478,Single-parent families,830,692,83.37,2020
11145,484,Single-parent families,375,328,87.47,2020
11190,493,Single-parent families,323,288,89.16,2020
11575,570,Single-parent families,253,216,85.38,2020
11630,581,Single-parent families,328,278,84.76,2020
11640,583,Single-parent families,726,615,84.71,2020
12230,118,Single-parent families,1379,987,71.57,2021
12510,174,Single-parent families,277,240,86.64,2021
12690,210,Single-parent families,472,385,81.57,2021
13355,343,Single-parent families,535,428,80.0,2021
13565,385,Single-parent families,692,579,83.67,2021
13795,432,Single-parent families,322,267,82.92,2021
13920,457,Single-parent families,472,412,87.29,2021
13975,468,Single-parent families,421,348,82.66,2021
14845,59,Single-parent families,1841,1240,67.35,2022
14850,60,Single-parent families,244,203,83.2,2022
14865,63,Single-parent families,353,273,77.34,2022
15520,194,Single-parent families,676,564,83.43,2022
15660,222,Single-parent families,368,323,87.77,2022
15690,228,Single-parent families,163,147,90.18,2022
15715,233,Single-parent families,149,124,83.22,2022
15750,240,Single-parent families,222,191,86.04,2022
15810,252,Single-parent families,240,206,85.83,2022
16330,356,Single-parent families,129,113,87.6,2022
16605,411,Single-parent families,193,161,83.42,2022
16615,413,Single-parent families,294,236,80.27,2022
16650,421,Single-parent families,409,332,81.17,2022
17150,521,Single-parent families,442,367,83.03,2022
17435,578,Single-parent families,281,236,83.99,2022
17635,35,Single-parent families,452,358,79.2,2023
17665,41,Single-parent families,1431,1117,78.06,2023
17765,61,Single-parent families,364,289,79.4,2023
18150,138,Single-parent families,2978,2093,70.28,2023
19385,385,Single-parent families,709,598,84.34,2023
19530,414,Single-parent families,3134,2145,68.44,2023
20310,570,Single-parent families,290,232,80.0,2023
135,27,Single-parent families,283,239,84.45,2017
360,72,Single-parent families,3935,1728,43.91,2017
615,123,Single-parent families,660,551,83.48,2017
625,125,Single-parent families,432,331,76.62,2017
980,196,Single-parent families,138,122,88.41,2017
1610,322,Single-parent families,97,79,81.44,2017
1705,341,Single-parent families,369,321,86.99,2017
1870,374,Single-parent families,353,314,88.95,2017
2000,400,Single-parent families,200,164,82.0,2017
2010,402,Single-parent families,407,335,82.31,2017
2045,409,Single-parent families,1075,759,70.6,2017
2100,421,Single-parent families,378,316,83.6,2017
2485,498,Single-parent families,711,556,78.2,2017
2550,511,Single-parent families,250,223,89.2,2017
3510,120,Single-parent families,1495,1020,68.23,2018
4000,218,Single-parent families,1120,896,80.0,2018
4055,229,Single-parent families,207,180,86.96,2018
4245,267,Single-parent families,837,657,78.49,2018
4275,273,Single-parent families,186,166,89.25,2018
4290,276,Single-parent families,458,338,73.8,2018
4325,283,Single-parent families,404,316,78.22,2018
4590,336,Single-parent families,774,543,70.16,2018
4855,389,Single-parent families,182,156,85.71,2018
4865,391,Single-parent families,511,399,78.08,2018
4890,396,Single-parent families,235,196,83.4,2018
5605,540,Single-parent families,1109,859,77.46,2018
6000,36,Single-parent families,282,245,86.88,2019
6405,117,Single-parent families,684,455,66.52,2019
6440,124,Single-parent families,641,549,85.65,2019
6520,140,Single-parent families,112,90,80.36,2019
6540,144,Single-parent families,276,213,77.17,2019
6630,162,Single-parent families,386,314,81.35,2019
6725,181,Single-parent families,308,273,88.64,2019
6890,214,Single-parent families,128,116,90.63,2019
7250,286,Single-parent families,202,166,82.18,2019
7505,337,Single-parent families,796,521,65.45,2019
8210,479,Single-parent families,853,731,85.7,2019
8295,496,Single-parent families,480,386,80.42,2019
8725,582,Single-parent families,82,74,90.24,2019
8800,14,Single-parent families,830,692,83.37,2020
9065,67,Single-parent families,391,337,86.19,2020
9235,101,Single-parent families,218,189,86.7,2020
9630,180,Single-parent families,354,314,88.7,2020
9910,236,Single-parent families,806,657,81.51,2020
10080,270,Single-parent families,335,261,77.91,2020
10255,305,Single-parent families,182,148,81.32,2020
10445,343,Single-parent families,514,407,79.18,2020
10525,359,Single-parent families,562,408,72.6,2020
10560,366,Single-parent families,367,306,83.38,2020
10765,407,Single-parent families,477,407,85.32,2020
11285,512,Single-parent families,488,405,82.99,2020
11635,582,Single-parent families,79,72,91.14,2020
11695,11,Single-parent families,730,602,82.47,2021
12245,121,Single-parent families,491,415,84.52,2021
12285,129,Single-parent families,5060,3354,66.28,2021
12520,176,Single-parent families,2,1,50.0,2021
12575,187,Single-parent families,1626,1325,81.49,2021
12795,231,Single-parent families,1629,1148,70.47,2021
12920,256,Single-parent families,135,119,88.15,2021
13085,289,Single-parent families,132,115,87.12,2021
13515,375,Single-parent families,1409,1125,79.84,2021
13605,393,Single-parent families,401,351,87.53,2021
13810,435,Single-parent families,68,60,88.24,2021
14285,530,Single-parent families,406,283,69.7,2021
14685,27,Single-parent families,293,229,78.16,2022
14810,52,Single-parent families,358,290,81.01,2022
14940,78,Single-parent families,1783,1011,56.7,2022
15115,113,Single-parent families,252,204,80.95,2022
15385,167,Single-parent families,2765,2200,79.57,2022
15735,237,Single-parent families,2410,1647,68.34,2022
16035,297,Single-parent families,84,74,88.1,2022
16170,324,Single-parent families,159,138,86.79,2022
16210,332,Single-parent families,481,373,77.55,2022
16355,361,Single-parent families,396,336,84.85,2022
16370,364,Single-parent families,91,69,75.82,2022
16460,382,Single-parent families,432,358,82.87,2022
16475,385,Single-parent families,686,582,84.84,2022
16680,427,Single-parent families,278,247,88.85,2022
16705,432,Single-parent families,329,274,83.28,2022
16745,440,Single-parent families,1757,1375,78.26,2022
16820,455,Single-parent families,435,378,86.9,2022
16905,472,Single-parent families,523,422,80.69,2022
16960,483,Single-parent families,901,705,78.25,2022
17060,503,Single-parent families,283,241,85.16,2022
17785,65,Single-parent families,412,313,75.97,2023
17805,69,Single-parent families,766,561,73.24,2023
18190,146,Single-parent families,997,747,74.92,2023
18235,155,Single-parent families,162,136,83.95,2023
18395,187,Single-parent families,1675,1361,81.25,2023
18455,199,Single-parent families,271,219,80.81,2023
19045,317,Single-parent families,105,92,87.62,2023
19095,327,Single-parent families,622,469,75.4,2023
19215,351,Single-parent families,1042,841,80.71,2023
19560,420,Single-parent families,1032,797,77.23,2023
19635,435,Single-parent families,74,64,86.49,2023
20150,538,Single-parent families,297,243,81.82,2023
65,13,Single-parent families,1560,1251,80.19,2017
975,195,Single-parent families,1256,968,77.07,2017
1160,232,Single-parent families,970,694,71.55,2017
1315,263,Single-parent families,4291,2962,69.03,2017
1440,288,Single-parent families,665,498,74.89,2017
1540,308,Single-parent families,160,140,87.5,2017
1750,350,Single-parent families,229,190,82.97,2017
1975,395,Single-parent families,658,524,79.64,2017
2095,420,Single-parent families,965,721,74.72,2017
2165,434,Single-parent families,335,281,83.88,2017
2375,476,Single-parent families,386,334,86.53,2017
2675,536,Single-parent families,240,198,82.5,2017
2815,564,Single-parent families,240,194,80.83,2017
3145,47,Single-parent families,576,485,84.2,2018
3805,179,Single-parent families,1105,940,85.07,2018
3845,187,Single-parent families,1551,1239,79.88,2018
4405,299,Single-parent families,217,186,85.71,2018
4715,361,Single-parent families,375,318,84.8,2018
4745,367,Single-parent families,3519,2522,71.67,2018
5070,433,Single-parent families,188,162,86.17,2018
5125,444,Single-parent families,186,168,90.32,2018
5170,453,Single-parent families,278,238,85.61,2018
5360,491,Single-parent families,735,626,85.17,2018
5615,542,Single-parent families,926,730,78.83,2018
5855,7,Single-parent families,363,310,85.4,2019
6225,81,Single-parent families,2692,777,28.86,2019
6280,92,Single-parent families,411,301,73.24,2019
6300,96,Single-parent families,662,507,76.59,2019
7100,256,Single-parent families,137,112,81.75,2019
7170,270,Single-parent families,329,259,78.72,2019
7195,275,Single-parent families,116,93,80.17,2019
7270,290,Single-parent families,411,304,73.97,2019
7535,343,Single-parent families,495,381,76.97,2019
7635,363,Single-parent families,361,280,77.56,2019
7750,386,Single-parent families,838,648,77.33,2019
8655,568,Single-parent families,139,115,82.73,2019
8685,574,Single-parent families,107,95,88.79,2019
8805,15,Single-parent families,286,238,83.22,2020
9085,71,Single-parent families,8968,3387,37.77,2020
9135,81,Single-parent families,2669,788,29.52,2020
10110,276,Single-parent families,456,350,76.75,2020
10140,282,Single-parent families,307,265,86.32,2020
10215,297,Single-parent families,89,73,82.02,2020
10585,371,Single-parent families,1622,1251,77.13,2020
10760,406,Single-parent families,1593,1186,74.45,2020
11065,468,Single-parent families,419,343,81.86,2020
11235,502,Single-parent families,228,191,83.77,2020
11515,558,Single-parent families,590,418,70.85,2020
11905,53,Single-parent families,476,396,83.19,2021
12030,78,Single-parent families,1774,1005,56.65,2021
12455,163,Single-parent families,398,332,83.42,2021
12840,240,Single-parent families,226,191,84.51,2021
12865,245,Single-parent families,133,113,84.96,2021
12980,268,Single-parent families,525,366,69.71,2021
13600,392,Single-parent families,467,403,86.3,2021
13675,407,Single-parent families,476,406,85.29,2021
13765,426,Single-parent families,480,415,86.46,2021
13940,461,Single-parent families,689,542,78.66,2021
14010,475,Single-parent families,116,102,87.93,2021
14230,519,Single-parent families,1728,1351,78.18,2021
15230,136,Single-parent families,1400,933,66.64,2022
15920,274,Single-parent families,124,101,81.45,2022
15975,285,Single-parent families,1358,968,71.28,2022
16065,303,Single-parent families,211,173,81.99,2022
